player,goals,assists,games_starts,cards_yellow,cards_red,passes_completed,touches,shots,offsides,tackles,fouls,dispossessed,own_goals,clearances,team
Gonzalo Plata,0,0,3.0,0,0,77.0,133.0,2,0,3.0,4,3.0,0,0.0,Ecuador
Gonçalo Ramos,3,1,2.0,0,0,25.0,55.0,7,3,1.0,2,0.0,0,2.0,Portugal
Granit Xhaka,0,0,4.0,1,0,215.0,273.0,6,0,6.0,5,3.0,0,7.0,Switzerland
Gregor Kobel,0,0,1.0,0,0,21.0,29.0,0,0,0.0,0,0.0,0,0.0,Switzerland
Grzegorz Krychowiak,0,0,4.0,1,0,93.0,165.0,1,0,9.0,6,0.0,0,4.0,Poland
Guido Rodríguez,0,0,1.0,0,0,54.0,69.0,0,0,2.0,0,0.0,0,1.0,Argentina
Guillermo Ochoa,0,0,3.0,0,0,93.0,112.0,0,0,0.0,0,0.0,0,0.0,Mexico
Guillermo Varela,0,0,2.0,0,0,62.0,109.0,0,0,3.0,3,1.0,0,1.0,Uruguay
Haji Wright,1,0,1.0,0,0,20.0,44.0,6,1,2.0,1,0.0,0,1.0,United States
Hakim Ziyech,1,1,7.0,0,0,211.0,386.0,10,2,10.0,12,11.0,0,4.0,Morocco
Hannibal Mejbri,0,0,,0,0,2.0,4.0,0,0,1.0,0,0.0,0,0.0,Tunisia
Haris Seferović,0,0,,0,0,10.0,20.0,1,0,0.0,1,0.0,0,0.0,Switzerland
Harry Kane,2,3,5.0,0,0,62.0,138.0,10,0,2.0,1,5.0,0,5.0,England
Harry Maguire,0,1,5.0,1,0,354.0,445.0,6,1,7.0,6,0.0,0,18.0,England
Harry Souttar,0,0,4.0,0,0,138.0,213.0,1,0,4.0,1,0.0,0,22.0,Australia
Harry Wilson,0,0,2.0,0,0,48.0,81.0,2,0,4.0,1,0.0,0,3.0,Wales
Hassan Al Tambakti,0,0,2.0,1,0,40.0,75.0,0,0,4.0,2,0.0,0,6.0,Saudi Arabia
Hassan Al-Haydos,0,0,3.0,0,0,65.0,101.0,1,1,4.0,4,3.0,0,1.0,Qatar
Henry Martín,1,0,2.0,0,0,13.0,35.0,4,2,1.0,3,2.0,0,1.0,Mexico
Hernán Galíndez,0,0,3.0,0,0,44.0,77.0,0,0,0.0,0,0.0,0,0.0,Ecuador
Hidemasa Morita,0,0,3.0,0,0,129.0,192.0,3,0,0.0,4,5.0,0,4.0,Japan
Hiroki Ito,0,0,,0,0,58.0,64.0,0,0,0.0,3,0.0,0,0.0,Japan
Hiroki Sakai,0,0,1.0,0,0,28.0,70.0,1,0,5.0,3,1.0,0,8.0,Japan
Hirving Lozano,0,0,3.0,0,0,42.0,109.0,6,2,7.0,7,4.0,0,1.0,Mexico
Homam Ahmed,0,0,3.0,1,0,77.0,115.0,0,0,2.0,5,2.0,0,1.0,Qatar
Hong Chul,0,0,,0,0,17.0,24.0,0,0,0.0,0,0.0,0,1.0,Korea Republic
Hossein Hosseini,0,0,1.0,0,0,23.0,49.0,0,0,0.0,0,0.0,0,0.0,IR Iran
Hossein Kanaanizadegan,0,0,,1,0,8.0,15.0,0,0,0.0,0,0.0,0,2.0,IR Iran
Hugo Lloris,0,0,6.0,0,0,110.0,203.0,0,0,0.0,0,0.0,0,3.0,France
Hwang Hee-chan,1,0,1.0,1,0,45.0,84.0,6,0,1.0,3,3.0,0,0.0,Korea Republic
